dataset_name,query,taxonomy_level,scientific_name,common_name,taxonomy_string,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,subgenus,species,subspecies,variety
WCS Camera Traps,acryllium vulturinum,species,acryllium vulturinum,vulturine guineafowl,"[(1449, 'species', 'acryllium vulturinum', ['vulturine guineafowl']), (1448, 'genus', 'acryllium', []), (1426, 'family', 'numididae', ['guineafowl']), (573, 'order', 'galliformes', ['landfowl']), (3, 'class', 'aves', ['birds']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,aves,,,,galliformes,,,,numididae,,,acryllium,,acryllium vulturinum,,
WCS Camera Traps,aepyceros melampus,species,aepyceros melampus,impala,"[(42278, 'species', 'aepyceros melampus', ['impala']), (42277, 'genus', 'aepyceros', []), (846298, 'tribe', 'aepycerotini', ['impalas']), (568847, 'subfamily', 'antilopinae', ['antelopes, goats, and sheep']), (42241, 'family', 'bovidae', ['bovids']), (424850, 'suborder', 'ruminantia', ['ruminants']), (152870, 'order', 'artiodactyla', ['even-toed ungulates and cetaceans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,antilopinae,aepycerotini,aepyceros,,aepyceros melampus,,
WCS Camera Traps,agouti paca,species,cuniculus paca,lowland paca,"[(74257, 'species', 'cuniculus paca', ['spotted paca']), (71836, 'genus', 'cuniculus', ['pacas']), (71388, 'family', 'cuniculidae', ['pacas']), (870769, 'superfamily', 'cavioidea', ['cavies, agoutis, and pacas']), (870767, 'infraorder', 'hystricognathi', ['hystricognaths']), (870765, 'suborder', 'hystricomorpha', ['ctenohystricans']), (43698, 'order', 'rodentia', ['rodents']), (848323, 'superorder', 'euarchontoglires', ['primates, rodents, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,euarchontoglires,rodentia,hystricomorpha,hystricognathi,cavioidea,cuniculidae,,,cuniculus,,cuniculus paca,,
WCS Camera Traps,argusianus argus,species,argusianus argus,great argus,"[(144264, 'species', 'argusianus argus', ['great argus']), (1232, 'genus', 'argusianus', []), (574, 'family', 'phasianidae', ['pheasants, grouse, and allies']), (573, 'order', 'galliformes', ['landfowl']), (3, 'class', 'aves', ['birds']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,aves,,,,galliformes,,,,phasianidae,,,argusianus,,argusianus argus,,
WCS Camera Traps,atherurus africanus,species,atherurus africanus,african brush-tailed porcupine,"[(44181, 'species', 'atherurus africanus', ['african brush-tailed porcupine']), (44179, 'genus', 'atherurus', ['brush-tailed porcupines']), (44167, 'family', 'hystricidae', ['old world porcupines']), (870767, 'infraorder', 'hystricognathi', ['hystricognaths']), (870765, 'suborder', 'hystricomorpha', ['ctenohystricans']), (43698, 'order', 'rodentia', ['rodents']), (848323, 'superorder', 'euarchontoglires', ['primates, rodents, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,euarchontoglires,rodentia,hystricomorpha,hystricognathi,,hystricidae,,,atherurus,,atherurus africanus,,
WCS Camera Traps,ave desconocida,class,aves,bird,"[(3, 'class', 'aves', ['birds']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,,
WCS Camera Traps,bos taurus,species,bos taurus,domestic cattle,"[(74113, 'species', 'bos taurus', ['domestic cow']), (42396, 'genus', 'bos', ['cattle']), (846321, 'tribe', 'bovini', ['cattle and bison']), (568826, 'subfamily', 'bovinae', ['bovines']), (42241, 'family', 'bovidae', ['bovids']), (424850, 'suborder', 'ruminantia', ['ruminants']), (152870, 'order', 'artiodactyla', ['even-toed ungulates and cetaceans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,bovinae,bovini,bos,,bos taurus,,
WCS Camera Traps,camelus dromedarius,species,camelus dromedarius,dromedary camel,"[(81542, 'species', 'camelus dromedarius', ['dromedary camel']), (42232, 'genus', 'camelus', ['camels']), (846209, 'tribe', 'camelini', ['camels']), (1317268, 'subfamily', 'camelinae', []), (42231, 'family', 'camelidae', ['camelids']), (925150, 'suborder', 'tylopoda', ['tylopodans']), (152870, 'order', 'artiodactyla', ['even-toed ungulates and cetaceans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,tylopoda,,,camelidae,camelinae,camelini,camelus,,camelus dromedarius,,
WCS Camera Traps,capra aegagrus,species,capra aegagrus,wild goat,"[(74139, 'species', 'capra aegagrus', ['wild goat']), (42348, 'genus', 'capra', ['goats']), (846307, 'tribe', 'caprini', ['goats and sheep']), (568847, 'subfamily', 'antilopinae', ['antelopes, goats, and sheep']), (42241, 'family', 'bovidae', ['bovids']), (424850, 'suborder', 'ruminantia', ['ruminants']), (152870, 'order', 'artiodactyla', ['even-toed ungulates and cetaceans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,antilopinae,caprini,capra,,capra aegagrus,,
WCS Camera Traps,capricornis sumatraensis,species,capricornis sumatraensis,southern serow,"[(74143, 'species', 'capricornis sumatraensis', ['mainland serow']), (71824, 'genus', 'capricornis', ['serows']), (846307, 'tribe', 'caprini', ['goats and sheep']), (568847, 'subfamily', 'antilopinae', ['antelopes, goats, and sheep']), (42241, 'family', 'bovidae', ['bovids']), (424850, 'suborder', 'ruminantia', ['ruminants']), (152870, 'order', 'artiodactyla', ['even-toed ungulates and cetaceans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,antilopinae,caprini,capricornis,,capricornis sumatraensis,,
WCS Camera Traps,cephalophus nigrifrons,species,cephalophus nigrifrons,black-fronted duiker,"[(42297, 'species', 'cephalophus nigrifrons', ['black-fronted duiker']), (42284, 'genus', 'cephalophus', ['forest duikers']), (846333, 'tribe', 'cephalophini', ['duikers']), (568847, 'subfamily', 'antilopinae', ['antelopes, goats, and sheep']), (42241, 'family', 'bovidae', ['bovids']), (424850, 'suborder', 'ruminantia', ['ruminants']), (152870, 'order', 'artiodactyla', ['even-toed ungulates and cetaceans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,antilopinae,cephalophini,cephalophus,,cephalophus nigrifrons,,
WCS Camera Traps,cephalophus silvicultor,species,cephalophus silvicultor,light-backed duiker,"[(42294, 'species', 'cephalophus silvicultor', ['light-backed duiker']), (42284, 'genus', 'cephalophus', ['forest duikers']), (846333, 'tribe', 'cephalophini', ['duikers']), (568847, 'subfamily', 'antilopinae', ['antelopes, goats, and sheep']), (42241, 'family', 'bovidae', ['bovids']), (424850, 'suborder', 'ruminantia', ['ruminants']), (152870, 'order', 'artiodactyla', ['even-toed ungulates and cetaceans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,antilopinae,cephalophini,cephalophus,,cephalophus silvicultor,,
